				
item	ru	en	tr	zh
				
nav.blog	Блог	Blog	Blog	博客
nav.about	О компании	About company	Şirket hakkında	关于公司
nav.faq	FAQ	FAQ	SSS	常问问题
nav.partners	Партнерам	For partners	Ortaklar için	对于合作伙伴
nav.delivery_payment	Доставка и оплата	Shipping and payment	Nakliye ve ödeme	运输和付款
nav.vacancies	Вакансии	Vacancies	Boş pozisyonlar	职位空缺
nav.contacts	Контакты	Contacts	Kişiler	联系方式
header.catalog	Каталог товаров	Catalog	Katalog	目录
tabs.homut.homuti	Хомуты	Clamps	Kelepçeler	夹子
tabs.homut.nepovorot	Хомут неповоротный	Fixed clamp	Sabit kelepçe	固定夹
tabs.homut.povorot	Хомут поворотный	Rotary clamp	Döner kelepçe	旋转夹具
tabs.homut.stykov	Хомут стыковочный	Docking clamp	Yerleştirme kelepçesi	对接夹
tabs.homut.fix	Хомут фиксирующий	Fixing clamp	Sabitleme kelepçesi	固定夹
tabs.homut.bal	Хомут балочный	Beam clamp	Kiriş kelepçesi	梁夹
tabs.homut.dosk	Хомут к доске	Clamp to the board	Tahtaya kelepçeleyin	夹到板上
tabs.homut.bolt	Болт Т-образный	T-bolt	T-cıvata	T型螺栓
tabs.homut.lestnic	Хомут к лестнице	Clamp for stairs	Merdivenler için kelepçe	楼梯夹
tabs.stroyles.stroyles	Строительные леса	Scaffolding	İskele	脚手架
tabs.stroyles.homut	Хомутовые леса	Khomutovye scaffolding	Khomutovye iskele	霍穆托夫脚手架
tabs.stroyles.klin	Клиновые леса	Wedge forests	Kama ormanları	楔形森林
tabs.stroyles.chash	Чашечные леса	Cup forests	Fincan ormanları	杯林
tabs.stroyles.complect	Комплектующие к строительным лесам	Accessories for scaffolding	İskele aksesuarları	脚手架配件
tabs.opalub_coplect.opalub_complect	Комлектующие к опалубке	Accessories for formwork	Kalıp aksesuarları	模板配件
tabs.opalub_coplect.waterstop	Гайка ватерстоп	Waterstop nut	Su tutucu somun	止水螺母
tabs.opalub_coplect.klin_zamok	Замок клиновой оцинкованный	Galvanized wedge lock	Galvanizli kama kilidi	镀锌楔形锁
tabs.opalub_coplect.bfd_zamok	Замок BFD оцинкованный	Lock BFD galvanized	Kilit BFD galvanizli	BFD 镀锌锁
tabs.opalub_coplect.gaika_vint_opor	Гайка для винтовой опоры	Nut for screw support	Vida desteği için somun	螺杆支撑螺母
tabs.opalub_coplect.gaika_stayzh_treh	Гайка стяжная трехрожковая оцинкованная	Three-arm galvanized coupling nut	Üç kollu galvanizli bağlantı somunu	三臂镀锌连接螺母
tabs.opalub_coplect.gaika_staych_dvuh	Гайка стяжная двухрожковая оцинкованная 90мм	Double-arm galvanized coupling nut 90mm	Çift kollu galvanizli bağlantı somunu 90mm	双臂镀锌连接螺母90mm
tabs.opalub_coplect.gaika_sharnir	Гайка шарнирная	Swivel nut	Döner somun	旋转螺母
tabs.opalub_coplect.vint_stayzh	Винт стяжной	Clamping screw	Sıkıştırma vidası	夹紧螺丝
tabs.opalub_coplect.gaika_malaya	Гайка малая барашковая/крыльчатая	Small wing/wing nut	Küçük kanat/kanat somunu	小翼形/翼形螺母
tabs.opalub_coplect.fix_armatur	Фиксаторы арматуры	Reinforcement clamps	Takviye kelepçeleri	加固夹
tabs.trubi_vgp.trubi_vgp	Трубы ВГП	VGP pipes	VGP boruları	VGP管道
